Disease_Class,Geopolitical_Zone,Eco_Zone,Soil_Type,Rainfall_mm,Temperature_C,Relative_Humidity_Pct,Nitrogen_Level_ppm,Phosphorus_Level_ppm,Potassium_Level_ppm,Insect_Vector_Count,Leaf_Symptom_Severity
Healthy,South_South,Humid_Forest,Clay_Loam,1581.1,27.2,66.5,67.8,38.9,155.6,0,1
Nutrient_Deficiency,South_West,Southern_Guinea_Savanna,Lateritic,789.5,29.3,59.3,11.3,11.9,59.0,1,3
Viral_Mosaic,North_West,Humid_Forest,Sandy_Loam,1395.8,25.8,67.5,100.0,55.0,220.0,24,2
Fungal_Blight,South_South,Humid_Forest,Clay_Loam,1800.0,32.5,86.2,90.0,45.0,180.0,6,3
Bacterial_Wilt,South_South,Sudan_Savanna,Clay_Loam,1177.5,33.0,72.9,100.0,55.0,220.0,7,5
Viral_Mosaic,North_Central,Southern_Guinea_Savanna,Alluvial,1192.9,28.8,49.7,100.0,55.0,220.0,21,3
Bacterial_Wilt,North_East,Derived_Savanna,Clay_Loam,664.5,31.7,78.6,100.0,55.0,220.0,10,5
Healthy,South_West,Southern_Guinea_Savanna,Sandy_Loam,1415.1,27.8,68.3,97.2,39.7,177.3,0,1
Fungal_Blight,South_West,Derived_Savanna,Sandy_Loam,1800.0,27.6,84.3,90.0,45.0,180.0,6,3
Fungal_Blight,South_East,Humid_Forest,Sandy_Loam,2266.8,25.9,85.5,90.0,45.0,180.0,12,5
Healthy,North_Central,Humid_Forest,Alluvial,1448.9,26.5,60.9,78.7,31.5,140.5,0,1
Healthy,North_East,Derived_Savanna,Sandy_Loam,1838.8,29.7,57.0,73.8,32.6,162.5,0,1
Healthy,North_West,Southern_Guinea_Savanna,Sandy_Loam,1152.7,30.1,64.9,71.1,43.5,167.7,1,1
Viral_Mosaic,South_West,Southern_Guinea_Savanna,Clay_Loam,1185.4,38.0,66.8,100.0,55.0,220.0,21,3
Fungal_Blight,South_East,Humid_Forest,Clay_Loam,1800.0,33.4,81.6,90.0,45.0,180.0,5,4
Nutrient_Deficiency,South_South,Derived_Savanna,Alluvial,738.0,34.4,58.4,18.8,10.6,49.8,2,3
Bacterial_Wilt,North_Central,Humid_Forest,Clay_Loam,1580.1,32.7,78.5,100.0,55.0,220.0,6,5
Viral_Mosaic,South_West,Derived_Savanna,Lateritic,1122.1,27.6,69.3,100.0,55.0,220.0,23,2
Fungal_Blight,South_East,Humid_Forest,Sandy_Loam,2044.6,25.7,84.8,90.0,45.0,180.0,10,3
Viral_Mosaic,South_West,Derived_Savanna,Lateritic,1060.1,31.9,57.6,100.0,55.0,220.0,28,3
Healthy,South_East,Derived_Savanna,Sandy_Loam,886.3,29.3,63.2,85.7,30.3,187.8,0,1
Healthy,South_South,Derived_Savanna,Clay_Loam,1058.9,26.9,62.4,76.4,31.9,190.3,0,1
Fungal_Blight,South_East,Humid_Forest,Clay_Loam,1800.0,29.8,95.0,90.0,45.0,180.0,10,3
Nutrient_Deficiency,South_West,Sudan_Savanna,Alluvial,901.7,31.8,57.4,10.7,13.2,51.3,0,3
Nutrient_Deficiency,North_West,Southern_Guinea_Savanna,Lateritic,966.7,34.0,65.7,12.4,11.6,48.1,0,3
Bacterial_Wilt,South_West,Sudan_Savanna,Clay_Loam,1546.0,33.1,64.7,100.0,55.0,220.0,4,4
Fungal_Blight,South_South,Humid_Forest,Alluvial,2015.1,29.5,90.1,90.0,45.0,180.0,9,3
Fungal_Blight,South_West,Humid_Forest,Clay_Loam,2168.7,28.3,92.4,90.0,45.0,180.0,8,4
Viral_Mosaic,South_West,Derived_Savanna,Sandy_Loam,1181.4,32.8,65.9,100.0,55.0,220.0,17,4
Nutrient_Deficiency,South_East,Southern_Guinea_Savanna,Alluvial,826.2,32.8,80.0,16.8,8.0,55.6,3,4
Nutrient_Deficiency,North_Central,Derived_Savanna,Lateritic,627.3,33.0,55.5,10.0,9.9,51.7,1,2
Healthy,North_East,Southern_Guinea_Savanna,Clay_Loam,1787.1,30.6,56.8,78.3,38.8,120.4,0,1
Nutrient_Deficiency,North_West,Sudan_Savanna,Lateritic,794.1,31.9,53.8,20.9,11.1,41.9,1,3
Fungal_Blight,South_South,Humid_Forest,Sandy_Loam,1800.0,28.4,83.4,90.0,45.0,180.0,10,4
Fungal_Blight,South_East,Humid_Forest,Clay_Loam,2314.2,27.9,91.5,90.0,45.0,180.0,8,4
Healthy,South_East,Derived_Savanna,Sandy_Loam,1143.3,30.2,69.6,83.1,42.6,172.9,1,1
Bacterial_Wilt,North_East,Southern_Guinea_Savanna,Clay_Loam,1211.3,31.5,50.7,100.0,55.0,220.0,2,4
Healthy,South_West,Humid_Forest,Sandy_Loam,1637.1,29.8,63.5,63.5,42.7,194.7,0,1
Healthy,North_Central,Humid_Forest,Alluvial,1262.4,29.7,76.8,75.2,35.1,149.4,1,1
Viral_Mosaic,North_Central,Southern_Guinea_Savanna,Alluvial,1272.4,27.4,71.2,100.0,55.0,220.0,31,3
Fungal_Blight,South_South,Humid_Forest,Alluvial,2261.8,25.7,81.7,90.0,45.0,180.0,9,3
Fungal_Blight,South_West,Humid_Forest,Alluvial,1965.3,28.5,88.0,90.0,45.0,180.0,9,5
Fungal_Blight,South_West,Humid_Forest,Clay_Loam,1800.0,28.2,89.4,90.0,45.0,180.0,10,5
Viral_Mosaic,South_West,Southern_Guinea_Savanna,Sandy_Loam,802.8,38.0,69.9,100.0,55.0,220.0,28,3
Viral_Mosaic,North_Central,Southern_Guinea_Savanna,Sandy_Loam,882.7,33.0,48.9,100.0,55.0,220.0,24,2
Bacterial_Wilt,North_Central,Derived_Savanna,Alluvial,1313.0,30.7,77.2,100.0,55.0,220.0,4,5
Fungal_Blight,South_South,Derived_Savanna,Alluvial,2474.8,28.5,86.8,90.0,45.0,180.0,5,3
Healthy,South_West,Southern_Guinea_Savanna,Sandy_Loam,1109.9,32.8,65.5,61.0,41.8,155.1,1,1
Nutrient_Deficiency,South_West,Sudan_Savanna,Lateritic,784.0,34.8,72.3,22.9,8.9,68.8,2,3
Bacterial_Wilt,South_South,Derived_Savanna,Clay_Loam,845.0,34.4,60.1,100.0,55.0,220.0,3,4
Viral_Mosaic,North_West,Humid_Forest,Lateritic,1037.0,28.9,85.1,100.0,55.0,220.0,25,4
Bacterial_Wilt,North_East,Sudan_Savanna,Clay_Loam,1242.0,31.4,80.8,100.0,55.0,220.0,7,5
Bacterial_Wilt,North_East,Derived_Savanna,Clay_Loam,1273.9,30.0,73.3,100.0,55.0,220.0,7,5
Healthy,North_West,Southern_Guinea_Savanna,Alluvial,1328.7,31.9,63.4,89.5,44.1,164.2,0,1
Nutrient_Deficiency,North_West,Sudan_Savanna,Lateritic,886.7,24.8,73.3,18.0,9.5,70.0,0,2
Nutrient_Deficiency,South_East,Derived_Savanna,Sandy_Loam,688.8,29.8,52.0,10.0,12.6,38.6,0,4
Healthy,North_East,Humid_Forest,Alluvial,1039.9,28.6,47.5,60.0,38.6,173.6,0,1
Bacterial_Wilt,South_South,Derived_Savanna,Clay_Loam,1177.6,37.5,59.9,100.0,55.0,220.0,10,4
Fungal_Blight,South_West,Humid_Forest,Sandy_Loam,1800.0,28.7,94.4,90.0,45.0,180.0,7,4
Viral_Mosaic,South_West,Southern_Guinea_Savanna,Sandy_Loam,1261.9,28.0,81.4,100.0,55.0,220.0,18,3
Fungal_Blight,South_South,Humid_Forest,Lateritic,1800.0,29.7,89.4,90.0,45.0,180.0,12,3
Bacterial_Wilt,South_East,Derived_Savanna,Clay_Loam,846.1,33.3,90.0,100.0,55.0,220.0,3,5
Viral_Mosaic,North_Central,Southern_Guinea_Savanna,Clay_Loam,844.6,26.6,58.7,100.0,55.0,220.0,32,4
Healthy,North_East,Derived_Savanna,Clay_Loam,1598.4,26.6,63.3,83.7,42.9,175.5,1,1
Nutrient_Deficiency,South_West,Sudan_Savanna,Lateritic,803.6,32.5,49.3,14.0,8.5,62.7,2,3
Healthy,North_West,Humid_Forest,Sandy_Loam,1619.9,22.5,66.0,60.0,34.2,200.7,0,1
Nutrient_Deficiency,South_South,Derived_Savanna,Lateritic,600.0,34.3,58.6,20.8,14.0,40.5,0,2
Healthy,North_Central,Derived_Savanna,Alluvial,1538.3,25.7,63.8,72.2,38.7,119.9,0,1
Healthy,North_West,Southern_Guinea_Savanna,Clay_Loam,2096.8,28.2,69.8,93.4,40.7,183.2,1,1
Nutrient_Deficiency,North_West,Southern_Guinea_Savanna,Lateritic,746.9,31.9,45.6,23.9,9.1,58.0,0,4
Viral_Mosaic,North_Central,Derived_Savanna,Alluvial,1001.2,26.1,74.3,100.0,55.0,220.0,24,4
Fungal_Blight,South_South,Humid_Forest,Clay_Loam,2377.6,30.2,81.8,90.0,45.0,180.0,3,4
Bacterial_Wilt,North_East,Southern_Guinea_Savanna,Clay_Loam,1584.4,37.5,76.1,100.0,55.0,220.0,10,5
Nutrient_Deficiency,North_West,Sudan_Savanna,Sandy_Loam,789.6,33.1,67.0,26.7,11.1,59.8,2,2
Fungal_Blight,South_South,Derived_Savanna,Clay_Loam,2642.8,26.6,84.5,90.0,45.0,180.0,2,4
Viral_Mosaic,South_West,Humid_Forest,Alluvial,1087.5,30.9,63.8,100.0,55.0,220.0,24,3
Healthy,North_Central,Derived_Savanna,Clay_Loam,1384.5,27.4,72.0,80.3,44.0,187.1,0,1
Healthy,South_South,Humid_Forest,Sandy_Loam,1314.3,28.7,57.6,78.2,42.9,163.2,1,1
Nutrient_Deficiency,South_South,Southern_Guinea_Savanna,Lateritic,912.7,33.4,73.3,17.9,8.5,64.7,2,2
Nutrient_Deficiency,South_West,Southern_Guinea_Savanna,Lateritic,600.0,31.6,74.3,25.8,13.5,41.6,0,3
Viral_Mosaic,South_West,Derived_Savanna,Sandy_Loam,1498.3,31.5,42.1,100.0,55.0,220.0,23,4
Healthy,South_South,Humid_Forest,Alluvial,1363.0,25.0,66.9,85.1,38.1,155.8,0,1
Healthy,North_West,Southern_Guinea_Savanna,Sandy_Loam,1291.3,28.6,74.4,68.0,43.9,154.7,1,1
Fungal_Blight,South_West,Derived_Savanna,Clay_Loam,2292.5,26.5,85.2,90.0,45.0,180.0,9,3
Nutrient_Deficiency,South_South,Sudan_Savanna,Lateritic,703.6,33.6,67.0,24.0,11.6,70.0,1,2
Fungal_Blight,South_West,Derived_Savanna,Sandy_Loam,2368.3,26.4,88.9,90.0,45.0,180.0,8,4
Bacterial_Wilt,North_Central,Southern_Guinea_Savanna,Clay_Loam,955.2,32.5,59.1,100.0,55.0,220.0,5,5
Healthy,South_East,Humid_Forest,Clay_Loam,1405.1,27.2,66.6,88.1,31.6,185.4,1,1
Viral_Mosaic,South_West,Derived_Savanna,Clay_Loam,1076.9,33.8,75.0,100.0,55.0,220.0,20,4
Bacterial_Wilt,North_West,Southern_Guinea_Savanna,Clay_Loam,1362.1,32.1,64.1,100.0,55.0,220.0,3,4
Nutrient_Deficiency,North_West,Sudan_Savanna,Lateritic,726.4,33.7,40.0,13.5,8.7,41.3,0,3
Healthy,North_East,Derived_Savanna,Alluvial,1557.2,29.3,64.0,78.8,41.0,165.0,0,1
Nutrient_Deficiency,South_West,Sudan_Savanna,Lateritic,928.0,37.2,48.6,27.3,7.4,43.6,2,4
Fungal_Blight,South_East,Humid_Forest,Sandy_Loam,2363.1,28.1,92.7,90.0,45.0,180.0,8,4
Nutrient_Deficiency,South_South,Sudan_Savanna,Lateritic,920.4,31.5,59.0,20.4,14.0,54.2,1,3
Viral_Mosaic,North_Central,Southern_Guinea_Savanna,Alluvial,1110.2,26.3,56.9,100.0,55.0,220.0,21,4
Nutrient_Deficiency,North_Central,Southern_Guinea_Savanna,Lateritic,724.5,27.0,52.1,21.6,12.2,48.7,1,4
Healthy,South_South,Derived_Savanna,Alluvial,1521.1,30.9,63.9,67.3,44.3,165.0,0,1
Viral_Mosaic,South_West,Derived_Savanna,Sandy_Loam,1503.8,30.3,60.7,100.0,55.0,220.0,34,2
Fungal_Blight,South_West,Humid_Forest,Alluvial,1800.0,25.3,86.6,90.0,45.0,180.0,9,5
Fungal_Blight,South_South,Humid_Forest,Clay_Loam,2000.6,26.1,95.0,90.0,45.0,180.0,8,3
Healthy,South_South,Humid_Forest,Alluvial,1239.2,27.3,77.2,94.3,50.0,156.0,0,1
Viral_Mosaic,North_Central,Derived_Savanna,Lateritic,1363.4,26.3,67.5,100.0,55.0,220.0,22,4
Healthy,North_West,Derived_Savanna,Alluvial,1034.1,26.3,54.4,78.4,40.8,165.6,1,1
Fungal_Blight,South_South,Humid_Forest,Clay_Loam,2593.9,26.8,87.0,90.0,45.0,180.0,7,4
Healthy,South_South,Southern_Guinea_Savanna,Clay_Loam,1325.4,25.2,47.9,67.7,40.2,162.2,0,1
Viral_Mosaic,North_West,Humid_Forest,Alluvial,1281.0,30.1,65.0,100.0,55.0,220.0,21,3
Bacterial_Wilt,South_West,Sudan_Savanna,Clay_Loam,1099.1,34.0,71.2,100.0,55.0,220.0,8,5
Nutrient_Deficiency,South_West,Southern_Guinea_Savanna,Lateritic,897.7,33.9,48.7,23.6,9.3,53.8,1,2
Healthy,North_West,Derived_Savanna,Clay_Loam,1337.6,28.9,81.2,77.4,40.0,186.3,0,1
Viral_Mosaic,North_West,Southern_Guinea_Savanna,Lateritic,816.2,32.7,67.1,100.0,55.0,220.0,18,4
Healthy,South_South,Humid_Forest,Clay_Loam,1642.0,25.1,41.0,72.8,44.7,116.7,0,1
Fungal_Blight,South_South,Humid_Forest,Sandy_Loam,1848.8,29.7,89.2,90.0,45.0,180.0,4,4
Viral_Mosaic,South_West,Humid_Forest,Clay_Loam,1101.3,31.6,56.5,100.0,55.0,220.0,29,2
Healthy,South_East,Derived_Savanna,Sandy_Loam,1472.5,27.0,63.8,78.1,39.5,140.7,1,1
Healthy,South_East,Humid_Forest,Alluvial,1094.2,30.7,71.3,78.5,30.0,147.2,0,1
Viral_Mosaic,North_Central,Southern_Guinea_Savanna,Alluvial,1069.7,28.7,67.5,100.0,55.0,220.0,16,2
Fungal_Blight,South_South,Humid_Forest,Sandy_Loam,2203.7,31.3,82.3,90.0,45.0,180.0,8,5
Healthy,South_East,Derived_Savanna,Alluvial,1495.1,23.9,52.3,75.6,39.6,134.8,1,1
Healthy,North_Central,Southern_Guinea_Savanna,Sandy_Loam,874.9,29.3,68.0,69.1,35.7,163.7,2,1
Nutrient_Deficiency,North_Central,Sudan_Savanna,Clay_Loam,769.4,30.7,69.2,27.6,8.1,58.3,1,2
Nutrient_Deficiency,North_West,Southern_Guinea_Savanna,Lateritic,971.8,30.0,53.7,21.3,7.4,41.3,0,4
Fungal_Blight,South_South,Derived_Savanna,Clay_Loam,2064.3,29.1,88.2,90.0,45.0,180.0,7,3
Healthy,South_South,Humid_Forest,Sandy_Loam,943.6,30.0,55.8,84.9,36.9,108.8,2,1
Viral_Mosaic,North_Central,Humid_Forest,Alluvial,773.2,30.0,62.4,100.0,55.0,220.0,26,3
Healthy,South_South,Humid_Forest,Sandy_Loam,1279.1,24.4,54.6,68.0,40.0,161.7,0,1
Fungal_Blight,South_West,Humid_Forest,Alluvial,2602.5,30.6,93.0,90.0,45.0,180.0,2,4
Viral_Mosaic,North_West,Derived_Savanna,Sandy_Loam,1424.4,27.0,54.3,100.0,55.0,220.0,23,4
Fungal_Blight,South_East,Derived_Savanna,Clay_Loam,2024.9,30.0,90.5,90.0,45.0,180.0,6,4
Bacterial_Wilt,South_East,Southern_Guinea_Savanna,Clay_Loam,856.0,31.9,58.2,100.0,55.0,220.0,3,5
Fungal_Blight,South_East,Derived_Savanna,Sandy_Loam,1850.7,28.0,84.5,90.0,45.0,180.0,11,4
Viral_Mosaic,South_West,Humid_Forest,Alluvial,1810.5,32.7,48.3,100.0,55.0,220.0,26,3
Viral_Mosaic,South_West,Derived_Savanna,Lateritic,785.9,22.0,76.0,100.0,55.0,220.0,29,4
Bacterial_Wilt,South_South,Southern_Guinea_Savanna,Clay_Loam,1804.2,31.6,70.5,100.0,55.0,220.0,5,4
Fungal_Blight,South_East,Derived_Savanna,Clay_Loam,2145.2,28.1,80.0,90.0,45.0,180.0,5,5
Bacterial_Wilt,South_East,Humid_Forest,Clay_Loam,1190.7,33.9,69.9,100.0,55.0,220.0,7,4
Fungal_Blight,South_West,Derived_Savanna,Clay_Loam,2474.6,30.5,87.2,90.0,45.0,180.0,10,4
Nutrient_Deficiency,South_West,Derived_Savanna,Lateritic,600.0,29.9,65.1,21.0,11.5,30.0,0,3
Fungal_Blight,South_South,Humid_Forest,Alluvial,2022.1,29.9,80.1,90.0,45.0,180.0,7,5
Healthy,South_West,Humid_Forest,Sandy_Loam,1193.8,30.6,63.5,90.0,43.0,130.6,1,1
Nutrient_Deficiency,South_South,Southern_Guinea_Savanna,Lateritic,1005.4,31.9,66.7,13.9,8.0,59.2,0,4
Nutrient_Deficiency,North_Central,Sudan_Savanna,Lateritic,689.5,30.9,43.8,11.9,11.8,59.6,1,4
Fungal_Blight,South_South,Humid_Forest,Lateritic,2247.8,28.6,89.4,90.0,45.0,180.0,11,4
Fungal_Blight,South_West,Humid_Forest,Sandy_Loam,2081.8,32.8,88.0,90.0,45.0,180.0,11,4
Bacterial_Wilt,South_West,Southern_Guinea_Savanna,Clay_Loam,1377.5,36.1,78.8,100.0,55.0,220.0,7,5
Healthy,North_Central,Derived_Savanna,Sandy_Loam,1106.7,27.1,63.7,87.1,44.3,176.3,0,1
Viral_Mosaic,South_West,Derived_Savanna,Lateritic,624.8,26.5,66.6,100.0,55.0,220.0,24,3
Viral_Mosaic,North_Central,Derived_Savanna,Sandy_Loam,1156.9,27.7,53.0,100.0,55.0,220.0,28,2
Fungal_Blight,South_West,Humid_Forest,Alluvial,2487.5,27.0,86.1,90.0,45.0,180.0,7,5
Nutrient_Deficiency,North_Central,Sudan_Savanna,Lateritic,1162.9,30.9,53.9,21.7,10.6,69.1,0,3
Fungal_Blight,South_South,Humid_Forest,Lateritic,2157.7,32.6,85.8,90.0,45.0,180.0,13,4
Bacterial_Wilt,South_South,Southern_Guinea_Savanna,Alluvial,934.3,33.5,78.5,100.0,55.0,220.0,3,5
Nutrient_Deficiency,South_West,Derived_Savanna,Lateritic,867.9,31.7,68.8,26.8,7.1,60.6,2,4
Healthy,South_East,Humid_Forest,Sandy_Loam,1110.0,28.7,74.3,71.4,37.1,166.9,0,1
Nutrient_Deficiency,North_East,Derived_Savanna,Clay_Loam,760.4,34.4,46.3,10.6,12.2,38.3,1,4
Bacterial_Wilt,North_West,Derived_Savanna,Lateritic,1616.6,32.3,83.1,100.0,55.0,220.0,3,4
Viral_Mosaic,North_West,Humid_Forest,Clay_Loam,1382.8,24.2,71.2,100.0,55.0,220.0,25,2
Bacterial_Wilt,North_East,Southern_Guinea_Savanna,Clay_Loam,936.0,30.0,73.9,100.0,55.0,220.0,13,4
Nutrient_Deficiency,North_Central,Derived_Savanna,Lateritic,731.2,29.1,58.9,20.8,12.4,44.7,2,4
Fungal_Blight,South_West,Derived_Savanna,Lateritic,1894.6,28.7,81.0,90.0,45.0,180.0,8,3
Fungal_Blight,South_West,Humid_Forest,Alluvial,2308.9,27.4,82.5,90.0,45.0,180.0,9,3
Nutrient_Deficiency,South_South,Southern_Guinea_Savanna,Sandy_Loam,998.4,30.2,49.3,10.0,13.4,49.8,1,4
Fungal_Blight,South_East,Derived_Savanna,Clay_Loam,2120.5,30.7,86.0,90.0,45.0,180.0,9,4
Fungal_Blight,South_West,Derived_Savanna,Clay_Loam,2057.4,30.4,86.2,90.0,45.0,180.0,11,3
Nutrient_Deficiency,South_East,Sudan_Savanna,Alluvial,600.0,33.6,52.8,24.5,15.0,39.2,2,2
Viral_Mosaic,North_Central,Humid_Forest,Sandy_Loam,1124.5,25.2,61.6,100.0,55.0,220.0,30,3
Nutrient_Deficiency,South_West,Sudan_Savanna,Lateritic,719.3,24.6,68.7,21.5,8.6,34.1,0,2
Bacterial_Wilt,North_East,Southern_Guinea_Savanna,Clay_Loam,1504.7,33.2,64.7,100.0,55.0,220.0,5,4
Bacterial_Wilt,North_Central,Derived_Savanna,Lateritic,626.7,35.3,75.6,100.0,55.0,220.0,6,4
Healthy,South_West,Humid_Forest,Sandy_Loam,1333.9,23.8,82.2,84.2,42.4,194.1,0,1
Fungal_Blight,South_South,Humid_Forest,Lateritic,1893.8,27.7,85.7,90.0,45.0,180.0,4,3
Nutrient_Deficiency,North_Central,Southern_Guinea_Savanna,Lateritic,689.5,30.9,59.2,11.3,9.5,40.1,0,4
Viral_Mosaic,South_West,Derived_Savanna,Alluvial,1067.2,28.9,59.4,100.0,55.0,220.0,31,2
Fungal_Blight,South_South,Humid_Forest,Sandy_Loam,2119.4,29.4,88.6,90.0,45.0,180.0,11,3
Bacterial_Wilt,North_West,Sudan_Savanna,Clay_Loam,1166.9,33.4,69.6,100.0,55.0,220.0,4,5
Bacterial_Wilt,North_West,Sudan_Savanna,Lateritic,940.9,36.6,58.6,100.0,55.0,220.0,2,5
Healthy,South_East,Southern_Guinea_Savanna,Clay_Loam,1200.8,27.3,62.0,93.8,31.2,149.6,0,1
Healthy,North_West,Humid_Forest,Sandy_Loam,1077.2,27.8,68.8,99.2,41.9,100.0,1,1
Fungal_Blight,South_East,Humid_Forest,Sandy_Loam,2013.3,30.3,87.4,90.0,45.0,180.0,7,5
Nutrient_Deficiency,South_South,Southern_Guinea_Savanna,Lateritic,970.8,23.0,70.5,15.6,9.3,55.3,1,3
Viral_Mosaic,North_Central,Derived_Savanna,Alluvial,600.0,30.9,60.0,100.0,55.0,220.0,12,3
Bacterial_Wilt,South_South,Derived_Savanna,Clay_Loam,701.5,31.4,81.5,100.0,55.0,220.0,7,5
Healthy,South_South,Derived_Savanna,Sandy_Loam,1025.2,27.1,67.1,63.3,46.3,151.1,1,1
Fungal_Blight,South_East,Humid_Forest,Clay_Loam,1800.0,30.0,93.8,90.0,45.0,180.0,9,5
Bacterial_Wilt,North_Central,Derived_Savanna,Alluvial,848.6,32.7,59.7,100.0,55.0,220.0,3,5
Bacterial_Wilt,North_Central,Southern_Guinea_Savanna,Clay_Loam,1265.0,33.2,75.3,100.0,55.0,220.0,1,4
Bacterial_Wilt,South_West,Sudan_Savanna,Clay_Loam,1024.0,30.6,90.0,100.0,55.0,220.0,4,5
Healthy,South_South,Derived_Savanna,Sandy_Loam,1295.0,29.0,54.7,75.2,43.3,179.1,0,1
Fungal_Blight,South_South,Derived_Savanna,Clay_Loam,2260.9,28.1,86.7,90.0,45.0,180.0,6,3
Healthy,South_South,Humid_Forest,Alluvial,1142.6,29.5,82.5,81.9,39.6,147.1,0,1
Viral_Mosaic,South_West,Derived_Savanna,Alluvial,1491.5,28.8,67.1,100.0,55.0,220.0,25,3
Fungal_Blight,South_West,Humid_Forest,Sandy_Loam,1800.0,30.1,84.6,90.0,45.0,180.0,9,5
Nutrient_Deficiency,South_West,Sudan_Savanna,Lateritic,637.3,23.5,51.4,22.8,10.7,40.0,0,2
Healthy,North_East,Humid_Forest,Clay_Loam,1153.4,28.6,67.7,60.0,44.8,151.6,1,1
Bacterial_Wilt,North_East,Humid_Forest,Lateritic,2070.9,30.0,80.3,100.0,55.0,220.0,6,5
Healthy,North_West,Humid_Forest,Sandy_Loam,967.9,28.2,74.1,71.9,35.8,202.5,0,1
Healthy,North_Central,Southern_Guinea_Savanna,Alluvial,1225.8,27.1,57.4,70.3,34.0,161.6,1,1
Nutrient_Deficiency,South_East,Sudan_Savanna,Lateritic,776.6,32.9,47.3,15.6,6.1,49.6,1,2
Healthy,North_West,Southern_Guinea_Savanna,Alluvial,1142.9,27.7,61.8,77.0,33.7,120.4,0,1
Healthy,North_East,Derived_Savanna,Clay_Loam,898.6,26.9,75.4,73.1,39.1,157.8,1,1
Viral_Mosaic,North_Central,Humid_Forest,Lateritic,1171.3,29.2,65.9,100.0,55.0,220.0,34,2
Bacterial_Wilt,South_South,Southern_Guinea_Savanna,Alluvial,1565.6,33.1,79.1,100.0,55.0,220.0,6,5
Healthy,South_East,Southern_Guinea_Savanna,Sandy_Loam,1094.4,31.3,55.3,93.8,44.2,152.1,1,1
Fungal_Blight,South_South,Humid_Forest,Sandy_Loam,1800.0,28.5,80.0,90.0,45.0,180.0,9,3
Fungal_Blight,South_West,Humid_Forest,Clay_Loam,2276.8,31.4,90.4,90.0,45.0,180.0,8,3
Fungal_Blight,South_South,Humid_Forest,Sandy_Loam,2669.8,29.0,81.5,90.0,45.0,180.0,11,3
Nutrient_Deficiency,North_East,Southern_Guinea_Savanna,Lateritic,1006.9,33.6,57.7,30.0,12.9,33.6,1,2
Fungal_Blight,South_South,Derived_Savanna,Clay_Loam,2170.3,32.7,80.9,90.0,45.0,180.0,4,4
Fungal_Blight,South_West,Humid_Forest,Clay_Loam,1800.0,29.0,87.7,90.0,45.0,180.0,7,4
Healthy,South_East,Humid_Forest,Clay_Loam,1407.9,30.2,58.6,71.2,45.1,179.9,0,1
Healthy,North_West,Southern_Guinea_Savanna,Clay_Loam,1402.0,29.1,50.8,80.1,46.1,177.0,1,1
Bacterial_Wilt,North_Central,Sudan_Savanna,Clay_Loam,1590.0,33.9,67.5,100.0,55.0,220.0,4,5
Fungal_Blight,South_South,Humid_Forest,Lateritic,1968.8,26.8,84.1,90.0,45.0,180.0,8,5
Healthy,South_South,Humid_Forest,Clay_Loam,1652.8,27.0,59.1,60.0,41.0,126.9,0,1
Healthy,South_West,Southern_Guinea_Savanna,Clay_Loam,1347.2,23.8,59.0,74.3,36.4,159.0,0,1
Bacterial_Wilt,South_South,Humid_Forest,Clay_Loam,763.4,34.7,62.8,100.0,55.0,220.0,6,4
Viral_Mosaic,North_West,Derived_Savanna,Clay_Loam,1256.9,29.8,51.6,100.0,55.0,220.0,32,3
Fungal_Blight,South_West,Humid_Forest,Sandy_Loam,2198.0,26.9,89.6,90.0,45.0,180.0,7,4
Healthy,South_South,Southern_Guinea_Savanna,Sandy_Loam,1642.3,25.2,59.0,81.3,43.4,150.5,0,1
Nutrient_Deficiency,South_East,Sudan_Savanna,Lateritic,840.5,30.6,48.9,23.0,9.4,32.3,1,3
Fungal_Blight,South_East,Humid_Forest,Alluvial,2371.0,28.9,82.4,90.0,45.0,180.0,11,4
Healthy,North_West,Southern_Guinea_Savanna,Sandy_Loam,1613.6,27.5,53.9,95.6,35.0,168.5,0,1
Nutrient_Deficiency,South_South,Southern_Guinea_Savanna,Lateritic,693.5,26.8,65.9,19.0,13.8,33.0,0,2
Fungal_Blight,South_South,Humid_Forest,Sandy_Loam,2040.1,28.5,92.4,90.0,45.0,180.0,7,5
Nutrient_Deficiency,North_West,Sudan_Savanna,Lateritic,882.9,30.1,59.4,17.3,7.5,50.0,2,3
Fungal_Blight,South_South,Humid_Forest,Clay_Loam,2541.2,34.6,87.4,90.0,45.0,180.0,10,4
Viral_Mosaic,North_Central,Humid_Forest,Clay_Loam,928.9,28.6,60.5,100.0,55.0,220.0,25,3
Healthy,North_Central,Derived_Savanna,Alluvial,1016.8,28.9,59.0,72.9,36.0,157.3,0,1
Bacterial_Wilt,North_Central,Derived_Savanna,Alluvial,1448.0,30.1,53.6,100.0,55.0,220.0,6,4
Fungal_Blight,South_South,Humid_Forest,Lateritic,2067.6,25.9,85.9,90.0,45.0,180.0,5,3
Healthy,North_West,Derived_Savanna,Alluvial,1278.0,32.0,65.3,68.4,39.7,157.0,1,1
Bacterial_Wilt,South_South,Sudan_Savanna,Clay_Loam,1174.6,32.0,84.8,100.0,55.0,220.0,7,5
Fungal_Blight,South_South,Humid_Forest,Clay_Loam,2342.6,27.5,80.9,90.0,45.0,180.0,11,3
Healthy,North_West,Humid_Forest,Sandy_Loam,1559.6,29.3,72.5,72.3,30.0,165.0,1,1
