State,Latitude,Longitude,Temperature,Humidity,Soil_Moisture,Rainfall,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Disease_Class
Cross River,7.697878,12.426286,35.39,45.43,60.48,265.26,22.69,31.35,13.52,Nutrient Deficiency
Cross River,10.565948,14.492528,,74.05,27.87,84.93,97.96,88.66,51.8,Healthy
Kaduna,5.063084,5.431459,,47.9,16.25,420.43,,,83.57,Viral Mosaic
Benue,6.394562,6.049464,37.64,68.73,15.51,232.24,55.88,76.77,75.36,Healthy
Enugu,11.781213,10.622888,24.83,40.4,39.83,195.33,57.08,99.69,53.99,Fungal Blight
Kaduna,5.822297,14.102659,20.74,57.41,76.21,301.83,29.37,82.23,87.4,Healthy
Kaduna,7.583806,13.531865,,,25.24,319.54,74.68,84.62,20.83,Bacterial Wilt
Ogun,12.28193,8.783068,28.12,66.62,27.97,134.28,17.63,95.63,91.89,Healthy
Cross River,5.894328,12.143768,21.81,93.8,17.06,384.78,61.6,23.6,86.18,Healthy
Enugu,5.244632,4.561077,32.74,108.48,52.39,165.97,,54.8,73.74,Healthy
Benue,8.860842,14.240539,20.56,59.75,57.59,124.67,92.28,62.25,,Fungal Blight
Enugu,7.221776,14.090062,35.66,42.5,55.01,212.56,57.36,39.63,58.94,Fungal Blight
Enugu,9.570675,4.882883,22.5,86.51,70.28,342.22,22.34,85.55,70.76,Healthy
Enugu,11.734244,6.443366,22.29,90.12,,436.18,61.55,78.62,60.45,Viral Mosaic
Benue,,,23.16,85.13,19.41,373.71,18.22,74.88,41.99,Fungal Blight
,9.726292,6.124752,37.28,47.04,30.26,426.14,28.34,99.74,61.2,Nutrient Deficiency
Cross River,9.049579,12.383492,,94.89,56.37,106.24,12.8,,33.17,Fungal Blight
,5.796709,7.350629,34.42,54.22,52.92,78.47,56.2,76.19,49.63,Viral Mosaic
Kebbi,10.115986,4.016565,27.16,79.83,47.17,273.08,17.61,59.63,35.27,Nutrient Deficiency
Benue,6.962764,6.935594,26.05,89.94,57.81,166.12,,38.17,21.06,Healthy
,8.890509,14.285908,24.22,52.96,54.62,381.22,93.97,24.45,38.97,Fungal Blight
Cross River,5.240451,,,89.95,71.69,318.8,74.78,90.63,86.68,Nutrient Deficiency
Benue,8.636257,7.785851,29.93,57.02,51.02,438.29,16.97,63.59,44.3,Healthy
Ogun,,4.915193,31.37,93.7,64.5,151.92,30.18,84.24,77.32,Viral Mosaic
Enugu,11.901431,14.341033,,55.47,,,70.63,59.08,25.77,Viral Mosaic
Kebbi,5.012809,12.439764,37.08,92.44,57.47,250.5,90.52,29.8,48.2,Nutrient Deficiency
Cross River,8.267465,6.236989,23.06,42.94,73.15,145.67,12.96,40.38,20.34,Healthy
Cross River,,3.80579,37.38,79.01,37.0,286.04,83.12,44.34,22.48,Bacterial Wilt
,,3.651194,20.27,69.27,64.54,227.31,60.56,97.56,65.57,Healthy
Ogun,,,28.66,66.28,60.74,228.69,,10.51,64.67,Healthy
Enugu,10.504911,9.678839,26.0,52.29,14.17,,96.2,98.71,29.2,Viral Mosaic
Kebbi,11.493444,13.680779,28.08,78.81,50.71,,77.29,98.24,52.7,Healthy
Benue,12.259827,8.712549,30.27,,19.11,258.84,86.51,99.65,87.7,Healthy
Cross River,7.324879,,27.84,70.41,77.71,184.1,41.86,52.89,,Healthy
Kebbi,,8.127696,27.47,,66.8,50.53,,,11.73,Healthy
Cross River,12.060973,11.148711,33.19,92.56,17.68,173.18,65.39,45.6,68.68,Healthy
Kebbi,13.40506,11.416536,32.35,41.57,18.52,161.45,38.94,12.37,14.81,Healthy
Kaduna,12.505674,5.000583,35.0,50.99,51.61,207.38,61.32,30.19,98.19,Healthy
Kaduna,7.843205,7.153985,24.5,53.33,34.14,102.74,31.3,95.08,64.87,Nutrient Deficiency
Kaduna,6.256499,10.328975,30.97,62.77,12.44,,22.9,11.24,52.34,Healthy
Kebbi,8.904533,3.813011,30.53,52.8,47.91,326.98,43.66,59.14,48.7,Healthy
Cross River,11.174773,7.157712,26.66,67.02,37.15,302.07,76.54,,61.58,Fungal Blight
Kaduna,8.933122,9.150194,28.75,87.99,17.08,371.5,92.46,35.78,18.16,Healthy
Benue,8.848628,,,79.16,66.13,230.8,51.19,17.93,93.7,Bacterial Wilt
Benue,12.044074,8.457136,22.55,71.9,74.06,257.64,67.85,87.36,66.31,Bacterial Wilt
Enugu,7.752634,,23.85,44.9,62.96,374.16,19.27,63.2,26.56,Healthy
Ogun,12.238152,7.968774,21.9,,67.57,221.08,91.4,91.19,60.63,Fungal Blight
Kaduna,8.161243,,,49.15,25.15,330.64,61.17,71.95,21.99,Bacterial Wilt
Kebbi,7.454098,9.84727,31.89,83.25,28.45,223.84,80.23,97.39,11.58,Healthy
,8.585909,13.195848,37.11,53.75,,217.09,81.5,55.89,66.75,Bacterial Wilt
Enugu,11.362023,7.725839,33.13,62.94,63.55,,33.08,67.48,68.36,Healthy
Kaduna,5.634018,9.949501,20.94,59.28,76.35,119.93,57.63,61.87,62.53,Viral Mosaic
Benue,6.267773,10.245215,35.92,87.23,60.18,185.43,96.44,53.58,26.51,Healthy
Enugu,13.063003,7.799904,35.53,46.96,71.7,139.67,18.07,86.14,64.31,Fungal Blight
Ogun,6.079425,4.659589,27.98,71.11,54.71,193.64,71.47,68.01,15.09,Viral Mosaic
Kaduna,9.609546,4.075933,30.55,47.81,37.14,142.15,96.6,82.12,64.83,Nutrient Deficiency
,9.71383,3.191723,37.57,78.76,39.8,281.76,37.05,80.77,59.86,Viral Mosaic
Kaduna,8.90662,13.045644,29.58,89.78,15.27,,87.53,27.19,68.97,Healthy
Kaduna,10.302707,5.719461,36.3,63.9,12.2,364.65,94.03,68.51,90.59,Healthy
Kaduna,,5.432328,21.49,66.85,58.68,195.8,77.24,27.97,86.53,Viral Mosaic
Benue,9.47396,11.464407,23.44,91.01,40.69,445.5,30.82,,98.26,Fungal Blight
Enugu,7.849559,6.680185,27.93,68.65,48.66,287.54,40.06,70.97,97.86,Bacterial Wilt
Cross River,10.455005,8.819514,30.53,66.82,49.04,209.76,13.22,99.75,79.51,Nutrient Deficiency
Benue,5.771012,,34.69,71.81,29.42,384.22,84.83,12.75,96.08,Fungal Blight
Benue,9.637897,14.037076,37.79,,43.31,341.95,86.47,18.21,88.06,Healthy
Cross River,6.167433,12.793186,27.0,45.88,42.95,349.71,66.94,16.93,75.48,Healthy
Cross River,7.007788,12.933581,20.85,85.16,37.19,128.46,41.73,45.85,16.78,Fungal Blight
Enugu,6.468388,7.677898,34.42,63.95,67.45,237.33,16.91,83.94,14.41,Healthy
Cross River,,11.767154,30.88,43.98,41.58,394.73,77.78,,85.38,Fungal Blight
Benue,11.931399,4.654576,23.57,83.24,,251.62,75.39,76.33,54.07,Fungal Blight
Benue,7.071368,3.099119,28.91,60.73,72.69,323.38,92.13,90.72,83.31,Healthy
Kebbi,12.844114,3.229689,33.36,45.52,70.64,285.17,75.75,39.06,38.16,Fungal Blight
Ogun,13.229339,9.74592,33.87,74.86,72.33,386.94,84.58,17.93,45.79,Healthy
Benue,9.641344,8.237041,28.99,88.41,28.9,163.82,77.14,15.23,73.02,Fungal Blight
Ogun,5.78701,8.957177,25.49,88.83,12.45,280.19,66.76,86.69,92.38,Viral Mosaic
Cross River,7.870934,3.085826,37.53,92.67,28.27,99.29,48.43,75.74,17.9,Bacterial Wilt
Cross River,11.67959,7.860896,31.94,87.72,29.51,326.08,91.19,72.88,87.53,Healthy
Enugu,7.806517,11.257784,27.35,40.12,73.66,342.79,68.59,40.57,81.37,Nutrient Deficiency
Ogun,5.283155,8.090978,25.05,60.91,,67.13,45.85,44.19,38.4,Viral Mosaic
Kaduna,9.511064,11.420521,33.16,85.02,15.72,320.32,17.51,96.23,41.97,Viral Mosaic
Kebbi,12.106088,5.679718,24.36,60.14,19.48,215.88,36.16,,14.18,Viral Mosaic
Ogun,11.663337,12.351133,23.09,73.09,20.9,99.64,58.94,79.64,11.42,Healthy
,6.076108,9.766959,29.54,73.35,54.13,217.96,34.81,37.87,52.93,Bacterial Wilt
Enugu,10.554882,5.423776,25.22,60.08,61.48,127.69,29.91,13.51,18.6,Nutrient Deficiency
,6.484538,5.722285,31.32,89.75,70.18,216.22,57.47,76.83,27.46,Healthy
Enugu,6.463868,10.22235,22.12,67.68,75.84,203.74,25.28,39.78,86.21,Fungal Blight
Enugu,12.366646,,31.79,65.56,24.12,345.36,82.04,74.99,61.39,Healthy
Cross River,6.747021,7.779719,25.1,94.86,31.68,359.69,53.59,73.69,67.03,Healthy
,6.869226,5.970455,20.0,67.14,26.82,292.81,61.65,58.13,26.87,Viral Mosaic
Kaduna,4.505881,12.970633,22.28,49.81,35.11,59.07,,79.96,84.58,Healthy
Benue,12.336021,10.696585,36.81,68.22,74.03,422.41,39.21,,88.12,Healthy
,11.633353,8.152983,,84.77,50.26,324.49,46.91,35.8,57.1,Healthy
Ogun,10.14596,8.610852,24.2,82.73,61.67,63.68,82.74,76.07,92.13,Healthy
Enugu,11.252392,5.348949,34.01,83.37,44.31,377.53,79.31,63.02,,Viral Mosaic
Cross River,5.868437,10.20823,30.95,78.94,12.02,130.11,30.07,,75.82,Bacterial Wilt
Kebbi,8.624912,7.125539,37.48,53.98,14.49,281.69,65.46,91.15,76.07,Fungal Blight
Ogun,7.660974,14.44992,26.72,,47.65,236.65,31.91,59.11,19.49,Fungal Blight
Cross River,5.343989,8.52211,32.27,89.14,60.32,217.94,98.94,88.18,34.38,Healthy
Kebbi,8.875174,8.587684,21.14,50.68,25.07,405.89,95.69,89.45,16.02,Viral Mosaic
Ogun,12.786657,9.507296,27.13,47.18,60.53,224.94,60.69,50.05,10.78,Nutrient Deficiency
Ogun,4.860532,13.542694,37.35,93.66,66.75,,72.9,55.69,24.25,Healthy
Benue,7.123148,12.209408,29.7,87.76,38.83,428.66,82.13,47.42,89.24,Fungal Blight
Cross River,,8.187996,25.18,,62.25,418.21,74.89,50.45,31.59,Fungal Blight
Kaduna,6.64332,,22.16,88.75,38.28,323.77,72.98,90.56,97.31,Healthy
Enugu,12.675911,9.741708,32.66,69.79,57.48,237.16,96.27,80.93,63.76,Viral Mosaic
Kebbi,8.712621,8.662221,31.61,75.55,63.48,87.14,63.68,21.39,31.35,Healthy
Enugu,8.696695,5.211631,26.73,69.99,79.43,366.3,67.27,64.93,54.74,Fungal Blight
Kebbi,11.345181,8.335267,37.12,42.82,,80.19,86.43,,29.72,Healthy
Benue,5.89043,5.826914,20.4,81.0,38.77,,70.29,63.6,98.56,Bacterial Wilt
Enugu,8.885388,,25.47,67.79,21.59,264.95,75.96,80.73,86.25,Viral Mosaic
,8.369867,6.857178,36.58,75.62,24.29,114.05,31.08,79.22,12.36,Healthy
Kebbi,,,25.78,67.65,,53.09,43.41,41.53,95.3,Healthy
Benue,13.496019,9.130136,24.54,67.05,74.19,,23.26,43.47,74.9,Healthy
Benue,11.42504,10.26276,29.62,49.45,37.62,104.89,55.52,75.17,17.41,Healthy
Cross River,8.080791,,34.83,55.33,22.59,114.21,51.02,55.0,70.36,Fungal Blight
Benue,11.947977,4.487877,21.86,48.74,29.96,80.76,99.74,61.35,68.22,Bacterial Wilt
Kebbi,,7.321944,36.97,,,132.04,65.01,74.16,29.69,Healthy
Enugu,4.774173,4.14018,,93.51,30.35,336.19,80.78,79.98,78.26,Healthy
Ogun,,,23.26,48.42,26.35,373.57,40.06,34.44,17.84,Viral Mosaic
Benue,7.563704,8.139053,32.82,54.81,61.52,231.01,84.84,23.21,54.05,Healthy
Enugu,9.095227,11.946827,26.93,72.48,10.55,252.62,65.36,36.26,10.89,Healthy
Ogun,10.036162,5.535411,27.24,73.56,47.75,63.06,,55.68,97.19,Viral Mosaic
,12.695451,4.89251,34.1,48.47,65.56,77.73,36.5,40.79,77.64,Viral Mosaic
Benue,9.088686,7.672821,37.33,83.65,28.64,,59.38,61.15,24.3,Viral Mosaic
Cross River,,13.655732,22.28,83.19,52.23,267.56,67.06,14.81,40.75,Healthy
Ogun,,11.169851,27.57,53.05,,345.82,63.02,55.88,,Fungal Blight
Kaduna,4.814204,7.817622,28.66,55.88,55.85,292.0,,43.12,79.0,Fungal Blight
Ogun,9.46044,8.94863,26.77,91.59,41.21,206.85,90.84,58.12,15.3,Bacterial Wilt
Enugu,8.443608,3.96845,26.54,85.41,,97.33,97.39,48.03,85.64,Fungal Blight
Ogun,12.052624,14.322623,20.94,78.38,68.51,362.31,70.07,35.58,94.8,Healthy
Kebbi,5.946116,10.663684,32.34,44.52,63.09,195.51,97.47,,70.9,Bacterial Wilt
Kebbi,4.724745,6.282147,27.85,,32.49,344.42,,26.63,29.17,Healthy
Kaduna,,,23.51,70.76,17.21,255.19,34.37,71.32,42.41,Viral Mosaic
Ogun,6.637307,4.259047,34.69,50.31,15.03,345.46,48.47,93.22,52.95,Viral Mosaic
Ogun,4.946529,14.107122,34.45,64.65,16.6,412.92,31.46,58.48,64.42,Healthy
Benue,11.021385,5.010027,28.76,73.06,50.8,418.41,10.38,88.88,70.18,Viral Mosaic
Benue,5.504337,10.452349,25.37,58.01,13.62,264.04,26.92,21.24,59.88,Fungal Blight
Benue,9.974876,5.822726,31.49,82.95,33.58,254.6,10.37,54.44,41.62,Bacterial Wilt
Cross River,7.029448,11.251956,25.19,86.22,62.72,156.27,74.79,51.13,90.18,Healthy
Cross River,6.061464,11.933446,24.25,57.8,30.6,424.32,48.3,10.73,17.33,Bacterial Wilt
Cross River,7.917764,10.744327,33.15,86.13,63.43,233.17,38.13,49.89,51.96,Viral Mosaic
Kaduna,11.713012,10.066744,20.73,45.7,62.18,101.04,78.55,,79.8,Viral Mosaic
Enugu,8.028842,13.263395,21.71,,27.21,223.08,84.92,70.28,15.48,Healthy
Kebbi,11.256927,3.904207,20.12,48.4,61.02,100.82,97.78,94.45,73.48,Bacterial Wilt
Cross River,5.629377,6.80552,22.75,44.56,62.34,251.01,67.78,17.72,83.77,Nutrient Deficiency
Enugu,11.454943,5.855306,21.24,75.3,37.82,274.51,,39.47,69.47,Healthy
Benue,6.6324,14.362161,37.92,65.96,24.73,185.1,37.47,,11.16,Bacterial Wilt
Ogun,,7.477982,25.2,89.93,46.49,78.66,30.01,50.97,26.21,Viral Mosaic
Benue,9.592034,,22.69,59.98,74.5,427.4,29.16,79.73,40.79,Healthy
Enugu,12.862302,10.874339,24.34,55.79,54.77,359.34,46.83,49.91,31.03,Healthy
Enugu,7.985903,5.438934,36.85,67.54,22.1,385.55,99.26,12.44,96.64,Healthy
Kebbi,5.095487,5.748473,29.36,,57.79,196.75,10.08,73.91,,Fungal Blight
Cross River,4.672399,6.234772,26.57,58.94,39.9,354.33,27.75,89.63,36.73,Healthy
Kebbi,,7.727964,35.72,78.16,51.41,244.15,26.96,56.25,93.67,Healthy
Benue,,5.694738,27.11,81.78,61.38,130.43,74.54,62.3,76.65,Fungal Blight
Cross River,11.477196,,26.03,86.91,46.05,99.77,41.72,24.66,35.61,Healthy
Ogun,6.60983,13.11302,23.73,93.51,66.98,188.02,51.15,29.86,44.1,Bacterial Wilt
Kaduna,7.605754,14.104513,26.8,54.67,60.55,105.02,23.38,31.17,27.95,Viral Mosaic
Cross River,4.770935,6.928059,25.7,79.39,53.06,449.31,46.45,48.77,97.4,Bacterial Wilt
Enugu,,6.892829,,61.68,20.56,69.68,19.29,93.53,56.56,Fungal Blight
Kebbi,,3.081556,25.21,77.24,68.52,226.46,57.97,56.96,90.65,Viral Mosaic
Ogun,12.898846,10.822883,30.39,66.18,75.51,230.84,18.81,27.29,41.18,Healthy
Kebbi,6.889468,12.492559,21.19,94.66,,170.25,,33.95,87.48,Healthy
Kebbi,10.003173,4.685995,,80.09,44.18,278.54,60.99,44.56,14.85,Healthy
Ogun,10.6065,4.836163,27.33,92.39,28.12,109.99,,66.09,98.39,Fungal Blight
Ogun,7.357947,12.085957,36.87,85.92,62.82,363.56,47.67,,92.08,Viral Mosaic
Benue,12.132983,10.087344,26.79,89.66,60.51,182.98,44.33,45.32,42.69,Healthy
Cross River,13.024453,3.515896,,84.79,19.86,286.54,18.84,60.83,79.72,Fungal Blight
Kaduna,12.463696,10.15929,24.59,65.25,71.39,336.26,57.15,31.77,77.7,Nutrient Deficiency
Benue,11.151603,6.552554,22.29,53.85,22.67,405.62,56.31,17.1,91.11,Healthy
Cross River,6.997182,7.240339,21.05,60.37,65.81,384.31,52.13,12.2,37.65,Fungal Blight
Kebbi,7.034544,11.851911,25.5,41.11,41.99,293.32,76.65,32.61,51.9,Fungal Blight
Cross River,13.170243,,22.84,68.82,32.98,205.36,84.93,18.24,87.85,Healthy
Benue,4.59256,,51.99,67.78,21.08,251.28,77.57,40.27,80.07,Fungal Blight
Kaduna,10.94445,13.892259,33.69,68.89,21.73,357.49,22.95,79.56,45.41,Healthy
Enugu,10.856215,7.674321,20.29,93.57,56.33,401.02,65.99,74.47,86.12,Nutrient Deficiency
Benue,10.104206,11.876114,30.04,90.13,48.53,,17.23,64.98,14.23,Healthy
Benue,13.41098,8.564589,26.83,48.89,18.55,203.94,72.52,86.73,80.38,Fungal Blight
Enugu,7.306915,13.321622,29.12,60.29,17.89,360.45,44.37,35.39,28.61,Healthy
Kebbi,7.559747,13.439254,30.13,63.32,15.06,222.66,21.92,89.65,35.75,Bacterial Wilt
Kebbi,5.210455,4.005293,25.64,59.83,62.06,182.89,87.58,45.93,54.39,Bacterial Wilt
Cross River,8.485183,13.769673,25.31,83.92,59.83,214.53,65.26,46.08,50.48,Healthy
Cross River,6.849437,12.493651,,68.82,14.09,291.14,41.93,46.48,56.85,Nutrient Deficiency
Cross River,7.59048,12.100073,35.68,71.47,,449.92,12.77,18.83,59.03,Healthy
Ogun,12.011146,5.31048,23.47,,15.93,247.2,58.36,97.79,39.84,Bacterial Wilt
Benue,12.919361,12.258871,21.76,84.33,73.26,133.4,93.09,22.47,25.77,Bacterial Wilt
Kaduna,6.171598,12.776526,36.16,47.27,73.5,115.14,63.67,40.68,79.16,Bacterial Wilt
Ogun,7.85258,6.325229,26.3,79.27,58.88,66.94,97.45,38.74,46.0,Healthy
Ogun,12.857675,13.950991,29.92,63.95,,273.53,22.28,16.72,55.53,Healthy
Enugu,5.056276,3.573392,26.47,56.21,66.8,267.83,61.15,23.7,,Nutrient Deficiency
Kaduna,5.331245,4.723956,22.26,,68.0,132.09,81.83,14.04,91.87,Bacterial Wilt
Benue,5.965119,9.182183,30.61,66.8,49.88,328.13,57.3,36.32,73.68,Nutrient Deficiency
Cross River,9.856916,9.621613,29.45,59.55,31.42,346.44,18.2,88.0,14.09,Fungal Blight
Kaduna,5.85425,10.419226,23.65,53.83,25.25,153.64,62.46,40.55,85.47,Fungal Blight
Kaduna,13.212687,3.195145,28.13,78.21,32.9,187.64,65.06,21.13,,Healthy
Ogun,8.520431,14.044218,34.35,82.32,53.99,446.19,75.58,68.11,,Nutrient Deficiency
Ogun,9.013662,3.512763,30.63,53.46,22.09,199.71,78.51,99.69,97.26,Fungal Blight
,6.719928,,21.74,42.72,28.1,354.32,79.37,30.91,59.26,Fungal Blight
Cross River,8.738642,3.161167,29.86,86.68,42.76,231.09,69.71,35.16,51.37,Viral Mosaic
Enugu,10.457223,9.518872,32.65,40.55,26.31,367.34,29.42,97.47,39.83,Bacterial Wilt
Ogun,11.260594,13.721069,34.27,91.54,51.21,357.61,46.38,26.09,69.18,Nutrient Deficiency
Cross River,11.284813,10.658392,31.32,74.52,74.62,317.1,79.85,56.01,30.68,Fungal Blight
Benue,9.70102,12.460561,22.75,57.7,62.37,391.91,95.81,31.57,19.44,Nutrient Deficiency
Benue,12.639238,3.152734,32.78,53.56,,425.69,17.11,93.91,,Bacterial Wilt
Benue,11.856671,9.233176,32.19,40.5,50.79,281.99,58.2,98.34,36.31,Fungal Blight
Ogun,11.313433,8.284974,20.44,52.95,44.16,144.99,38.13,83.32,45.62,Fungal Blight
Cross River,5.00045,8.738131,27.41,47.58,23.06,209.45,30.29,38.33,59.69,Bacterial Wilt
Kebbi,4.561902,3.830452,25.99,73.67,72.63,353.32,,,36.35,Fungal Blight
,6.412025,10.871007,32.05,49.16,27.4,310.35,64.55,31.81,98.57,Nutrient Deficiency
Enugu,10.471712,8.787035,23.89,69.07,16.39,121.12,10.88,90.17,36.26,Bacterial Wilt
Ogun,8.200777,11.799212,30.64,72.46,62.5,70.5,80.22,,49.69,Healthy
Ogun,8.121656,,36.44,56.39,22.29,323.18,83.79,47.7,19.29,Viral Mosaic
Ogun,12.461282,4.717889,34.36,41.93,36.03,150.43,96.9,69.09,33.46,Healthy
,12.560066,10.454955,36.59,42.05,11.98,,,24.9,14.35,Healthy
Kaduna,12.682577,4.982443,37.61,41.45,19.59,348.7,63.51,49.14,60.36,Nutrient Deficiency
Benue,7.324903,13.032537,20.19,80.65,22.12,275.07,48.4,66.83,77.6,Viral Mosaic
Kaduna,10.719502,10.050837,31.21,57.49,13.81,83.32,40.13,44.69,27.61,Fungal Blight
Cross River,,,27.43,83.8,55.97,124.23,60.91,42.18,43.11,Bacterial Wilt
Enugu,6.215488,14.066888,35.48,63.75,68.59,137.73,80.41,,11.5,Bacterial Wilt
Ogun,6.161692,8.961203,24.53,,36.13,153.15,12.07,82.39,85.56,Viral Mosaic
Kaduna,7.578969,3.838332,37.66,68.21,71.22,276.16,97.25,90.04,80.2,Bacterial Wilt
Cross River,8.369619,10.208578,54.85,79.22,,251.59,82.89,97.25,15.69,Viral Mosaic
Benue,11.978543,5.911787,34.28,55.04,32.78,131.26,77.6,74.73,42.84,Viral Mosaic
Ogun,5.57902,12.242475,,46.69,20.55,77.02,78.43,59.39,95.98,Healthy
Enugu,11.114333,12.404954,23.3,70.58,53.44,118.57,45.02,34.24,45.28,Nutrient Deficiency
Kebbi,9.283094,14.257895,33.65,57.98,39.39,443.75,77.65,99.94,57.36,Healthy
Ogun,7.091508,8.7715,,64.34,52.93,,44.81,63.08,41.97,Fungal Blight
Benue,8.935376,8.232004,34.7,75.58,63.32,396.94,90.88,71.3,63.65,Fungal Blight
Kaduna,7.199479,11.664969,20.25,67.18,,389.5,25.95,71.42,98.03,Viral Mosaic
Kebbi,9.864738,4.523413,31.83,74.12,53.93,254.61,36.31,86.07,99.78,Healthy
Kaduna,8.404595,9.289528,26.57,69.93,75.47,332.68,59.62,10.87,79.72,Healthy
Benue,5.97965,9.281847,31.01,,,127.1,38.73,29.82,46.39,Fungal Blight
Cross River,5.549248,4.028941,32.53,78.83,35.14,325.36,48.18,69.9,,Fungal Blight
Benue,9.420261,7.806817,26.16,69.38,60.24,158.95,54.32,90.56,42.11,Healthy
Kaduna,12.621717,12.812775,21.94,77.34,52.79,382.82,87.07,71.68,98.7,Fungal Blight
Kaduna,7.595619,12.845767,21.25,88.05,22.5,,57.09,47.21,73.7,Healthy
Benue,11.097001,4.141233,30.6,63.77,36.33,359.26,42.62,42.54,50.4,Fungal Blight
Benue,10.427952,4.04329,29.37,62.7,42.75,89.97,32.3,76.42,11.09,Healthy
Kebbi,12.883994,,33.36,82.03,39.36,402.48,46.78,76.71,56.84,Healthy
,11.888829,13.05981,29.18,72.04,22.48,171.68,56.42,64.64,98.55,Healthy
Kebbi,9.599447,4.48238,27.6,43.91,74.71,311.76,77.15,36.23,57.08,Healthy
Cross River,10.413274,11.279963,,89.07,63.36,245.0,20.89,93.26,26.42,Healthy
Enugu,12.585478,4.163405,20.48,41.69,43.69,196.52,,59.67,11.99,Bacterial Wilt
Kaduna,8.095669,10.166085,26.04,81.16,57.6,308.18,44.17,81.14,41.92,Healthy
Ogun,7.441152,7.094774,37.57,81.73,72.81,429.01,42.44,29.29,92.64,Healthy
Cross River,4.5973,12.072511,35.72,92.42,19.53,66.51,45.26,40.96,99.69,Healthy
Benue,11.93896,,25.93,42.98,27.53,417.54,81.42,88.71,,Fungal Blight
Kaduna,11.708826,10.350821,30.58,72.83,47.99,293.63,39.17,14.51,75.65,Bacterial Wilt
Ogun,5.440091,5.710349,35.25,63.53,65.93,372.93,55.17,56.11,60.23,Healthy
,9.691716,11.207093,,58.18,12.54,203.55,66.15,53.35,63.16,Bacterial Wilt
Enugu,8.675835,,20.32,44.97,78.88,,30.9,77.61,58.51,Bacterial Wilt
Kebbi,5.568382,4.458221,21.34,70.95,41.84,397.54,74.68,35.37,73.63,Nutrient Deficiency
Kaduna,13.325114,12.96585,,66.35,35.15,215.94,59.24,29.72,47.7,Healthy
Kebbi,6.432263,9.826115,37.45,45.75,30.49,263.86,50.21,93.35,70.23,Fungal Blight
Kebbi,5.105108,4.461771,32.48,73.69,22.2,58.08,82.88,61.45,20.95,Healthy
Ogun,9.853626,7.916731,21.28,80.59,65.41,113.44,31.91,19.42,33.91,Fungal Blight
Cross River,11.1498,4.849893,23.41,82.2,76.88,306.67,89.49,27.37,85.24,Healthy
Enugu,4.791991,11.054001,33.88,89.8,38.96,336.79,60.49,99.89,91.34,Healthy
Cross River,10.428459,11.726984,35.15,62.52,76.67,283.04,64.83,27.6,58.51,Bacterial Wilt
Benue,9.290627,4.21666,31.12,92.42,67.67,107.32,88.76,,12.85,Viral Mosaic
Benue,5.429385,8.820608,31.6,87.6,43.67,228.16,83.58,47.81,93.43,Healthy
Cross River,6.052715,12.368188,20.51,56.31,57.18,192.04,64.14,89.7,73.19,Fungal Blight
Cross River,9.611769,13.765875,34.91,48.76,40.45,248.26,77.79,77.97,47.26,Bacterial Wilt
Ogun,7.167219,8.905455,34.19,63.95,49.11,398.13,49.0,63.73,63.85,Fungal Blight
Kaduna,12.944842,,24.66,62.1,,360.34,59.26,10.97,48.68,Healthy
Benue,11.868662,9.160423,32.76,71.66,58.74,,15.59,,51.88,Nutrient Deficiency
Enugu,13.352105,7.533191,23.87,72.09,13.7,406.12,18.09,50.02,89.81,Viral Mosaic
Enugu,6.837038,12.754336,20.73,81.25,67.2,238.71,84.65,93.84,24.5,Fungal Blight
Benue,13.227513,,23.62,68.04,67.75,347.54,15.37,54.6,19.33,Fungal Blight
Cross River,8.381105,8.426879,23.22,45.77,26.6,106.02,25.25,72.48,10.25,Bacterial Wilt
Kaduna,7.627669,8.638594,26.08,87.21,32.66,318.29,,16.24,38.26,Fungal Blight
Kaduna,4.953146,12.738028,27.53,57.04,,144.53,10.1,77.06,23.27,Healthy
Kaduna,4.974887,12.567328,,93.42,51.77,225.35,35.42,40.42,29.8,Fungal Blight
Benue,10.728101,,,46.48,30.11,56.75,62.56,41.62,11.01,Fungal Blight
Benue,8.621361,6.832948,,92.7,51.47,110.64,63.59,20.68,30.45,Healthy
Ogun,6.538695,8.657172,20.53,45.01,30.85,86.83,79.94,23.22,39.94,Healthy
Benue,10.025733,9.586884,30.89,,13.88,145.9,55.53,,12.84,Healthy
Ogun,6.775723,5.740878,27.12,42.56,10.18,90.01,55.85,39.54,64.71,Bacterial Wilt
Kebbi,9.698686,12.130483,25.38,78.78,17.08,326.76,75.28,90.28,61.19,Healthy
Kaduna,7.732879,8.594552,35.6,86.77,65.46,61.62,54.88,43.14,18.73,Viral Mosaic
Ogun,11.91197,6.841524,33.44,63.87,77.3,297.1,64.76,75.19,63.55,Fungal Blight
Enugu,11.886265,4.228441,35.44,91.07,,106.28,90.8,,99.88,Viral Mosaic
Kaduna,8.796154,5.746719,28.91,72.47,45.89,428.06,46.13,63.2,,Fungal Blight
Cross River,7.657372,13.916733,22.36,74.65,20.28,423.24,44.66,53.37,10.24,Viral Mosaic
Ogun,7.763038,6.508646,32.53,86.5,48.57,140.2,10.32,98.02,81.58,Healthy
Enugu,11.751431,,23.71,56.32,20.13,295.77,65.21,86.16,41.82,Healthy
Enugu,7.453615,,27.94,59.48,,61.2,12.68,50.93,15.73,Healthy
Cross River,,,21.17,,75.33,422.72,,79.76,36.64,Viral Mosaic
