customer_id,age,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,tech_support,online_security,paperless_billing,num_support_tickets,satisfaction_score,churn
305,72,11,76.44,1863.78,Month-to-month,Electronic check,Fiber optic,No,No,No,3,1,1
306,28,38,39.18,5170.69,Month-to-month,Mailed check,DSL,Yes,Yes,No,1,2,1
307,73,6,41.18,4608.13,Month-to-month,Electronic check,Fiber optic,No,No,No,2,1,1
308,76,23,68.46,4587.93,One year,Bank transfer,Fiber optic,Yes,No,Yes,2,2,0
309,34,47,95.43,5337.76,Month-to-month,Electronic check,DSL,Yes,Yes,Yes,0,3,0
310,55,46,81.95,4432.22,Month-to-month,Credit card,DSL,No,Yes,No,3,5,1
311,41,12,49.74,7046.12,Month-to-month,Bank transfer,DSL,No,Yes,No,2,4,1
312,22,13,63.03,5437.08,Two year,Credit card,No,Yes,Yes,No,7,3,0
313,69,62,37.07,4421.01,Month-to-month,Bank transfer,DSL,No,No,No,1,2,1
314,51,60,27.46,6655.13,Two year,Mailed check,DSL,No,No,No,2,1,0
315,23,43,98.27,4888.56,Month-to-month,Credit card,Fiber optic,No,No,Yes,1,4,0
316,39,68,46.54,2400.04,Two year,Electronic check,Fiber optic,No,No,Yes,1,5,0
317,28,5,37.78,1736.05,Two year,Mailed check,DSL,No,No,Yes,1,3,0
318,65,37,89.16,1303.39,Month-to-month,Electronic check,No,Yes,Yes,Yes,6,5,1
319,33,31,81.81,7205.7,Month-to-month,Bank transfer,No,Yes,No,Yes,0,2,0
320,50,9,83.32,5710.07,Month-to-month,Bank transfer,Fiber optic,No,No,No,1,5,1
321,26,51,42.89,7505.29,Month-to-month,Electronic check,Fiber optic,Yes,No,No,0,1,1
322,77,29,43.26,4866.01,One year,Electronic check,DSL,No,Yes,Yes,6,3,0
323,76,40,42.08,3839.87,Month-to-month,Mailed check,DSL,No,No,Yes,1,3,1
324,23,41,37.38,571.76,Month-to-month,Electronic check,Fiber optic,No,Yes,Yes,2,1,1
325,33,11,85.57,5405.97,Month-to-month,Credit card,DSL,Yes,No,Yes,4,5,1
326,46,23,104.8,4699.45,Two year,Credit card,DSL,No,Yes,Yes,0,1,0
327,20,1,92.43,7922.65,Month-to-month,Electronic check,Fiber optic,No,No,Yes,2,4,1
328,37,46,99.21,1989.35,Month-to-month,Credit card,DSL,No,No,Yes,2,1,1
329,77,21,60.48,4292.83,Month-to-month,Electronic check,No,Yes,Yes,Yes,1,5,0
330,76,36,85.41,5242.56,Two year,Mailed check,DSL,No,No,No,4,1,1
331,53,54,55.42,5192.27,One year,Credit card,Fiber optic,No,Yes,Yes,2,2,0
332,36,57,72.55,4534.22,Month-to-month,Credit card,Fiber optic,No,No,Yes,2,1,1
333,43,1,68.16,6237.73,Month-to-month,Electronic check,Fiber optic,No,No,Yes,1,1,1
334,20,63,37.69,1719.35,Month-to-month,Credit card,DSL,Yes,No,Yes,1,5,0
335,36,54,58.71,5832.45,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,No,6,4,1
336,37,55,116.38,4995.9,Two year,Mailed check,No,No,No,No,3,4,0
337,49,40,44.86,7178.99,One year,Mailed check,Fiber optic,No,No,Yes,2,5,0
338,24,15,33.38,6792.84,Month-to-month,Credit card,Fiber optic,No,No,No,4,5,1
339,69,21,61.86,2589.66,Two year,Credit card,Fiber optic,Yes,Yes,Yes,0,5,0
340,58,47,99.03,2282.27,Month-to-month,Bank transfer,Fiber optic,Yes,No,No,0,2,0
341,50,53,78.21,7855.06,One year,Bank transfer,Fiber optic,Yes,No,Yes,2,3,0
342,57,9,88.1,4265.39,Two year,Credit card,No,Yes,Yes,Yes,2,1,0
343,56,52,38.97,7260.73,Month-to-month,Credit card,DSL,No,Yes,No,3,5,0
344,35,57,81.89,1394.66,One year,Bank transfer,Fiber optic,No,No,No,2,5,0
345,57,26,52.35,5178.27,Month-to-month,Electronic check,Fiber optic,Yes,No,No,4,5,1
346,18,41,103.43,6497.9,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,6,4,1
347,28,35,82.93,7584.42,Month-to-month,Electronic check,No,Yes,No,Yes,0,5,0
348,45,63,39.89,2764.99,Month-to-month,Mailed check,No,No,No,No,2,1,1
349,74,25,26.46,5827.35,One year,Mailed check,Fiber optic,Yes,Yes,Yes,0,5,0
350,42,38,24.26,4356.62,Two year,Bank transfer,DSL,No,No,Yes,1,1,0
351,67,2,57.14,578.97,One year,Electronic check,DSL,No,No,Yes,0,2,0
352,40,7,46.59,5551.0,Two year,Bank transfer,Fiber optic,No,No,Yes,1,3,0
353,48,34,84.61,5551.76,Two year,Bank transfer,No,No,No,Yes,4,4,0
354,47,17,69.93,7451.79,Month-to-month,Electronic check,DSL,No,Yes,Yes,2,1,1
355,59,43,46.6,4028.77,Month-to-month,Bank transfer,DSL,No,No,Yes,5,2,1
356,52,59,34.92,1918.98,Month-to-month,Mailed check,DSL,Yes,No,No,2,3,0
357,24,51,32.72,452.05,One year,Credit card,No,No,Yes,Yes,3,3,0
358,77,54,106.47,3383.57,Two year,Credit card,DSL,No,No,Yes,1,3,0
359,33,24,44.35,2485.14,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,Yes,5,1,1
360,43,25,85.17,6112.6,One year,Electronic check,Fiber optic,No,Yes,No,2,2,0
361,65,71,101.07,2898.72,One year,Electronic check,No,No,No,Yes,0,5,0
362,74,52,81.41,7597.66,One year,Mailed check,Fiber optic,No,No,No,4,2,0
363,69,70,105.96,7702.25,Month-to-month,Electronic check,Fiber optic,No,No,Yes,1,2,1
364,77,33,59.24,5005.18,Month-to-month,Electronic check,DSL,No,Yes,No,2,2,1
365,66,49,115.62,7436.42,Month-to-month,Mailed check,Fiber optic,No,Yes,Yes,5,1,1
366,19,29,33.31,6110.75,Month-to-month,Bank transfer,Fiber optic,No,Yes,Yes,2,1,1
367,18,63,30.21,4420.19,Month-to-month,Credit card,No,No,Yes,No,2,1,1
368,65,22,85.87,1524.43,One year,Mailed check,DSL,No,Yes,No,5,2,1
369,79,26,114.28,3722.92,Month-to-month,Bank transfer,DSL,No,No,Yes,0,1,1
370,29,28,100.89,4530.91,Two year,Mailed check,DSL,No,No,Yes,4,3,1
371,22,49,27.64,6925.3,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,3,1,1
372,54,71,47.94,3902.53,One year,Mailed check,No,No,No,No,5,4,0
373,49,49,113.03,7191.63,Month-to-month,Bank transfer,DSL,No,No,Yes,0,1,1
374,76,20,45.31,5427.36,One year,Mailed check,Fiber optic,No,Yes,Yes,2,1,0
375,72,63,98.12,1182.29,Two year,Bank transfer,DSL,No,Yes,Yes,1,1,0
376,26,61,102.51,7960.35,Month-to-month,Mailed check,DSL,Yes,No,No,5,1,1
377,58,49,69.55,4265.14,Month-to-month,Credit card,Fiber optic,No,No,No,3,4,0
378,52,71,58.63,3195.68,One year,Credit card,DSL,No,No,No,1,5,0
379,36,1,65.01,5307.0,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,2,1,1
380,65,13,42.7,960.26,Month-to-month,Bank transfer,Fiber optic,Yes,No,No,0,3,1
381,33,51,108.94,5128.66,Month-to-month,Mailed check,Fiber optic,No,No,No,1,4,1
382,20,56,65.06,4036.06,Month-to-month,Bank transfer,DSL,Yes,No,No,5,5,0
383,37,62,108.25,3312.73,One year,Credit card,No,No,Yes,Yes,1,1,0
384,41,32,30.57,7628.86,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,3,5,1
385,71,30,118.83,4228.06,Two year,Mailed check,Fiber optic,No,No,No,1,3,0
386,73,29,64.33,1831.03,One year,Bank transfer,DSL,No,Yes,Yes,3,4,0
387,50,49,24.78,3725.81,One year,Mailed check,DSL,No,No,Yes,5,4,0
388,41,45,23.8,7363.16,One year,Credit card,DSL,No,No,No,0,5,0
389,69,30,94.62,1491.15,Two year,Credit card,DSL,Yes,No,No,1,1,0
390,28,16,85.9,1790.26,Month-to-month,Credit card,Fiber optic,No,No,No,3,2,1
391,66,40,100.21,202.93,Two year,Electronic check,No,No,Yes,No,1,4,0
392,25,19,30.54,212.1,One year,Credit card,Fiber optic,No,No,Yes,3,2,0
393,53,18,23.56,6652.19,One year,Bank transfer,DSL,Yes,No,Yes,0,4,0
394,55,1,70.86,5883.77,One year,Electronic check,Fiber optic,No,No,Yes,1,1,1
395,57,47,58.76,2904.82,Month-to-month,Credit card,DSL,Yes,Yes,Yes,0,1,1
396,37,66,66.19,5616.66,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,2,4,0
397,79,38,119.16,3222.13,One year,Bank transfer,Fiber optic,Yes,No,Yes,4,5,0
398,52,51,117.07,7627.88,Month-to-month,Bank transfer,Fiber optic,No,Yes,Yes,1,1,1
399,65,63,114.23,7739.72,One year,Mailed check,No,No,Yes,No,3,1,0
400,79,4,98.38,3203.07,Month-to-month,Electronic check,DSL,Yes,No,No,1,3,1
401,42,1,55.48,6848.35,Month-to-month,Bank transfer,Fiber optic,No,No,No,2,1,1
402,52,8,61.21,6207.4,Month-to-month,Mailed check,No,No,No,No,3,3,1
403,42,29,74.96,2549.0,Month-to-month,Credit card,Fiber optic,No,Yes,No,0,1,1
404,46,55,103.05,1933.11,Month-to-month,Bank transfer,Fiber optic,No,No,No,2,1,1
405,35,3,26.87,3720.05,Month-to-month,Mailed check,No,No,No,No,3,5,1
406,63,32,62.43,6272.66,Two year,Bank transfer,DSL,No,Yes,No,3,5,0
407,35,10,28.26,7685.33,One year,Electronic check,No,No,Yes,No,1,1,0
408,19,34,71.47,6132.27,Month-to-month,Electronic check,DSL,No,No,No,1,4,1
409,71,55,109.89,6856.14,One year,Credit card,Fiber optic,Yes,No,Yes,2,4,0
410,52,32,98.25,4864.21,Two year,Bank transfer,No,No,No,Yes,0,1,0
411,33,50,42.78,6699.72,One year,Mailed check,DSL,No,Yes,Yes,1,4,0
412,78,7,117.6,6296.92,Month-to-month,Credit card,Fiber optic,Yes,Yes,Yes,4,1,1
413,58,8,86.74,3078.19,Two year,Bank transfer,DSL,No,No,Yes,1,5,0
414,53,65,21.04,4460.72,One year,Credit card,No,No,Yes,Yes,3,2,0
415,50,57,45.54,6457.55,Month-to-month,Mailed check,No,No,No,Yes,5,3,1
416,21,67,46.07,463.85,Month-to-month,Credit card,Fiber optic,Yes,No,Yes,2,4,0
417,50,59,26.93,6483.83,One year,Credit card,Fiber optic,No,Yes,No,2,4,0
418,31,54,115.98,1505.32,Month-to-month,Credit card,No,No,No,Yes,1,5,0
419,38,67,67.83,4166.0,Two year,Bank transfer,Fiber optic,No,No,No,3,4,0
420,65,51,109.58,6485.38,Month-to-month,Mailed check,Fiber optic,No,No,No,1,1,1
421,37,8,52.22,2105.19,Two year,Electronic check,Fiber optic,No,Yes,Yes,2,1,0
422,73,34,32.52,2041.88,One year,Bank transfer,Fiber optic,No,Yes,No,2,2,0
423,25,35,67.43,3281.84,Month-to-month,Electronic check,DSL,Yes,No,Yes,1,2,0
424,24,32,31.4,7167.68,Month-to-month,Electronic check,DSL,No,No,Yes,4,2,1
425,20,46,68.6,103.5,One year,Bank transfer,DSL,No,Yes,Yes,2,1,0
426,34,16,112.03,7220.93,One year,Bank transfer,No,Yes,Yes,Yes,1,2,0
427,50,68,72.08,1315.08,One year,Mailed check,Fiber optic,No,Yes,Yes,2,2,0
428,65,37,81.65,7921.68,Month-to-month,Mailed check,Fiber optic,Yes,No,Yes,0,1,1
429,29,54,35.66,7643.29,Month-to-month,Credit card,Fiber optic,Yes,No,Yes,0,5,0
430,76,14,24.37,4007.93,Month-to-month,Electronic check,DSL,No,No,Yes,1,4,1
431,68,55,31.08,4150.49,One year,Mailed check,DSL,No,Yes,Yes,0,3,0
432,39,48,79.85,3904.24,Month-to-month,Credit card,Fiber optic,No,No,No,2,1,1
433,72,7,29.5,5120.0,Month-to-month,Mailed check,Fiber optic,No,Yes,Yes,4,1,1
434,39,7,57.6,816.7,One year,Bank transfer,No,Yes,No,Yes,2,3,0
435,63,33,75.01,357.68,Two year,Mailed check,Fiber optic,No,No,Yes,5,3,0
436,47,23,58.87,555.85,Month-to-month,Electronic check,Fiber optic,No,Yes,Yes,4,2,1
437,55,19,36.37,3610.49,Month-to-month,Mailed check,Fiber optic,No,No,Yes,4,3,1
438,55,19,47.38,2276.83,One year,Electronic check,No,No,Yes,No,2,4,0
439,62,36,112.83,5014.11,One year,Bank transfer,Fiber optic,No,Yes,Yes,3,4,0
440,68,29,87.6,7940.29,Month-to-month,Electronic check,DSL,No,No,No,3,4,1
441,71,60,69.6,3151.95,Two year,Mailed check,Fiber optic,No,No,No,2,4,0
442,25,2,21.27,4633.35,Two year,Credit card,Fiber optic,Yes,No,Yes,3,4,0
443,44,1,119.24,3383.27,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,2,2,1
444,44,47,87.15,6793.45,Month-to-month,Mailed check,DSL,Yes,No,No,1,1,1
445,51,69,51.69,7227.67,Month-to-month,Bank transfer,No,Yes,Yes,No,2,3,0
446,38,20,107.93,7031.11,One year,Bank transfer,No,Yes,Yes,Yes,1,1,0
447,47,11,45.84,7797.54,Month-to-month,Mailed check,DSL,No,No,No,1,3,1
448,50,2,74.4,317.4,One year,Mailed check,No,No,Yes,No,6,2,1
449,45,67,83.61,6734.55,One year,Credit card,DSL,No,No,Yes,2,2,0
450,64,12,42.11,6039.0,Month-to-month,Bank transfer,DSL,No,Yes,No,1,5,1
451,50,20,117.84,1906.69,One year,Bank transfer,DSL,No,No,Yes,2,5,0
452,22,5,94.82,7654.93,Two year,Mailed check,DSL,No,No,Yes,1,2,0
453,77,37,75.78,1270.61,Month-to-month,Electronic check,No,Yes,Yes,No,2,2,1
454,78,38,38.06,5468.44,Month-to-month,Mailed check,DSL,No,Yes,No,4,3,1
455,65,9,25.39,1876.63,Month-to-month,Bank transfer,DSL,No,No,Yes,1,2,1
456,36,53,52.01,3507.91,Two year,Mailed check,DSL,No,No,Yes,1,1,0
457,21,44,95.32,5781.36,Two year,Credit card,DSL,No,Yes,No,4,3,0
458,52,24,46.93,4550.26,Month-to-month,Electronic check,DSL,Yes,No,No,4,2,1
459,66,30,73.96,3477.26,One year,Mailed check,Fiber optic,No,Yes,No,2,3,0
460,34,59,92.79,2678.07,Month-to-month,Credit card,DSL,No,No,No,3,3,0
461,61,14,30.79,6733.31,Month-to-month,Bank transfer,No,No,No,No,3,4,1
462,45,9,88.53,1236.13,Month-to-month,Mailed check,No,Yes,Yes,Yes,3,5,1
463,47,40,29.19,3497.81,Month-to-month,Bank transfer,DSL,No,No,Yes,1,3,1
464,46,66,116.51,7239.68,Month-to-month,Credit card,No,No,No,Yes,1,3,1
465,63,25,68.84,6782.21,One year,Bank transfer,DSL,Yes,Yes,No,0,4,0
466,70,22,35.07,3267.44,Month-to-month,Credit card,DSL,No,No,No,0,2,1
467,23,4,54.24,6128.56,Two year,Credit card,DSL,No,Yes,Yes,2,3,0
468,52,26,61.34,6602.97,Month-to-month,Credit card,DSL,No,Yes,Yes,2,4,1
469,77,58,95.82,7122.21,Month-to-month,Mailed check,Fiber optic,No,Yes,Yes,3,1,1
470,58,29,94.34,4401.6,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,3,4,1
471,54,37,81.19,1715.24,One year,Bank transfer,DSL,No,Yes,Yes,3,5,0
472,41,70,30.59,2116.94,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,2,5,0
473,46,18,35.16,2435.99,Month-to-month,Electronic check,DSL,Yes,No,Yes,2,2,1
474,66,42,29.38,4791.04,Two year,Electronic check,Fiber optic,Yes,No,Yes,1,2,0
475,63,41,77.72,359.2,Month-to-month,Electronic check,DSL,No,No,Yes,1,5,0
476,70,38,107.71,5124.74,Month-to-month,Bank transfer,DSL,No,No,Yes,3,5,0
477,48,34,63.38,2978.4,Two year,Credit card,DSL,No,No,No,6,3,1
478,52,17,36.08,2432.41,Month-to-month,Credit card,DSL,No,No,Yes,0,5,1
479,77,37,75.8,7048.02,Month-to-month,Mailed check,Fiber optic,No,Yes,No,2,2,1
480,50,25,101.18,3734.02,Month-to-month,Credit card,No,No,No,No,2,5,1
481,69,27,94.17,850.92,Month-to-month,Bank transfer,DSL,Yes,Yes,Yes,2,2,1
482,78,57,108.15,6631.3,Month-to-month,Bank transfer,Fiber optic,No,Yes,Yes,1,1,1
483,38,31,47.79,476.37,Month-to-month,Bank transfer,Fiber optic,No,No,No,2,5,1
484,49,6,39.4,5841.32,Month-to-month,Mailed check,No,No,Yes,No,2,2,1
485,40,40,107.98,6213.86,Month-to-month,Electronic check,DSL,No,Yes,No,2,4,1
486,50,12,85.76,2885.56,One year,Credit card,Fiber optic,No,No,No,1,3,0
487,20,53,51.09,6615.82,Month-to-month,Bank transfer,No,Yes,No,Yes,2,2,0
488,35,71,94.23,4173.71,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,0,5,0
489,42,10,101.51,3760.02,Two year,Electronic check,Fiber optic,No,No,Yes,2,5,0
490,59,45,81.5,458.69,One year,Bank transfer,DSL,No,Yes,Yes,2,1,0
491,48,17,88.79,2391.23,Month-to-month,Credit card,DSL,No,Yes,Yes,3,4,1
492,71,26,57.53,7454.98,Two year,Mailed check,Fiber optic,No,No,No,0,2,0
493,75,62,73.87,3195.41,Month-to-month,Bank transfer,Fiber optic,No,Yes,Yes,1,4,0
494,20,46,72.42,4418.93,Month-to-month,Credit card,DSL,No,No,Yes,2,1,1
495,57,64,104.8,4302.97,One year,Bank transfer,Fiber optic,No,Yes,No,5,3,0
496,63,2,104.0,4764.41,Month-to-month,Electronic check,Fiber optic,No,No,No,2,4,1
497,41,54,103.27,584.51,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,3,1,1
498,67,65,21.1,2961.19,Month-to-month,Bank transfer,Fiber optic,No,No,No,3,2,1
499,49,51,94.95,5812.71,Month-to-month,Mailed check,No,No,No,No,0,3,1
500,64,53,95.87,1684.43,Month-to-month,Electronic check,DSL,Yes,No,Yes,2,5,0
501,39,36,87.84,1708.27,Two year,Electronic check,No,No,Yes,Yes,1,1,0
502,40,26,95.63,179.72,Month-to-month,Mailed check,DSL,Yes,Yes,Yes,1,5,0
503,19,29,104.2,3556.11,Two year,Bank transfer,DSL,No,Yes,Yes,2,3,0
504,44,21,67.03,7073.6,One year,Credit card,DSL,Yes,No,Yes,2,1,0
505,59,11,70.21,510.02,Two year,Electronic check,DSL,Yes,No,No,2,1,0
506,19,40,32.47,1609.84,One year,Electronic check,DSL,Yes,No,No,1,3,0
507,43,11,58.54,2549.67,One year,Bank transfer,DSL,Yes,Yes,No,3,2,0
508,34,36,84.34,5880.63,Month-to-month,Bank transfer,No,No,No,No,6,1,1
509,57,59,98.04,5161.02,Month-to-month,Electronic check,DSL,No,No,No,1,3,1
510,50,39,41.72,3385.96,Month-to-month,Bank transfer,Fiber optic,No,Yes,Yes,4,4,1
511,26,54,33.78,6096.64,Two year,Credit card,DSL,No,Yes,Yes,1,5,0
512,60,55,86.3,4916.08,Two year,Electronic check,No,No,Yes,No,2,1,0
513,71,24,20.19,7178.72,Month-to-month,Credit card,Fiber optic,Yes,No,Yes,0,4,0
514,65,22,37.84,6562.41,Month-to-month,Credit card,DSL,No,No,Yes,3,1,1
515,56,69,22.91,2097.23,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,No,1,2,0
516,46,56,36.69,2244.36,One year,Credit card,Fiber optic,No,No,No,1,3,0
517,59,33,38.13,1090.32,Month-to-month,Bank transfer,Fiber optic,No,Yes,Yes,1,1,1
518,72,36,58.77,2762.02,One year,Mailed check,Fiber optic,Yes,No,No,1,3,0
519,43,20,60.23,7996.4,Two year,Bank transfer,Fiber optic,No,No,Yes,0,1,0
520,52,62,107.43,3305.43,Month-to-month,Credit card,Fiber optic,No,No,No,3,2,1
521,67,26,71.01,1841.86,Month-to-month,Mailed check,Fiber optic,No,Yes,Yes,0,2,1
522,42,66,92.34,6123.61,Month-to-month,Bank transfer,DSL,No,No,No,0,4,0
523,41,40,30.41,4385.52,Month-to-month,Credit card,No,Yes,No,Yes,4,2,1
524,30,17,42.54,1281.85,Month-to-month,Electronic check,Fiber optic,No,Yes,No,3,3,1
525,77,1,90.29,3107.45,Month-to-month,Electronic check,Fiber optic,Yes,Yes,Yes,3,2,1
526,75,61,25.28,3374.31,Two year,Bank transfer,DSL,No,No,Yes,1,1,0
527,24,43,68.66,6055.25,Month-to-month,Bank transfer,Fiber optic,Yes,No,Yes,1,2,0
528,74,42,79.94,263.3,Month-to-month,Electronic check,No,No,No,Yes,3,3,1
529,53,25,80.21,2225.26,Two year,Credit card,DSL,No,No,Yes,0,1,0
530,62,39,22.29,4189.01,One year,Credit card,Fiber optic,No,No,Yes,3,4,0
531,37,35,52.21,2223.89,Month-to-month,Credit card,Fiber optic,No,Yes,No,3,4,1
532,18,3,83.65,5064.63,One year,Bank transfer,No,No,Yes,No,2,4,0
533,25,44,34.9,3906.75,Month-to-month,Mailed check,Fiber optic,No,No,Yes,1,1,1
534,63,51,89.54,2957.51,One year,Mailed check,DSL,No,No,No,4,4,0
535,33,12,94.59,7598.75,One year,Mailed check,No,Yes,No,Yes,2,2,0
536,31,19,118.2,5094.06,One year,Mailed check,Fiber optic,No,No,Yes,3,1,0
537,29,44,40.98,1126.54,Month-to-month,Mailed check,DSL,Yes,No,Yes,2,1,1
538,68,59,102.51,4524.72,Two year,Bank transfer,DSL,Yes,No,Yes,3,1,0
539,40,49,72.03,6267.78,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,0,5,0
540,32,61,57.35,5697.07,Month-to-month,Mailed check,DSL,No,No,No,5,3,1
541,45,17,32.24,1459.5,Month-to-month,Bank transfer,DSL,No,Yes,Yes,3,5,1
542,51,57,93.55,7782.12,Month-to-month,Bank transfer,No,Yes,No,Yes,2,5,0
543,19,55,43.59,3645.63,Month-to-month,Mailed check,DSL,No,Yes,Yes,4,5,1
544,49,47,57.14,1356.3,Two year,Credit card,Fiber optic,Yes,No,No,1,3,0
545,40,12,26.25,1523.55,Two year,Bank transfer,DSL,Yes,No,No,2,5,0
546,39,62,100.14,876.06,Month-to-month,Credit card,Fiber optic,Yes,No,No,1,4,0
547,68,8,96.66,6447.79,Month-to-month,Bank transfer,Fiber optic,No,No,No,2,1,1
548,42,21,93.36,1064.04,Month-to-month,Bank transfer,DSL,No,Yes,No,0,1,1
549,75,70,49.94,1088.49,Month-to-month,Mailed check,Fiber optic,Yes,Yes,No,1,2,0
550,79,25,37.35,6818.73,Month-to-month,Bank transfer,DSL,No,No,Yes,2,4,1
551,78,12,83.76,2822.37,Two year,Electronic check,No,Yes,No,No,2,3,0
552,39,15,69.62,343.78,Month-to-month,Electronic check,No,No,Yes,Yes,2,1,1
553,75,59,37.83,509.97,Month-to-month,Mailed check,Fiber optic,No,No,No,3,5,0
554,75,26,88.59,1223.15,Month-to-month,Credit card,Fiber optic,No,No,No,1,2,1
555,39,26,119.11,1785.81,Two year,Credit card,DSL,No,No,No,2,2,0
556,66,47,94.72,5354.65,One year,Credit card,Fiber optic,No,Yes,Yes,1,1,0
557,69,32,94.0,1342.88,Two year,Electronic check,Fiber optic,No,No,No,3,4,0
558,59,10,115.03,1039.11,One year,Credit card,DSL,No,No,No,1,2,0
559,23,16,40.29,6141.28,Month-to-month,Credit card,Fiber optic,No,No,Yes,1,1,1
560,32,71,76.55,5401.34,Month-to-month,Mailed check,DSL,No,No,Yes,2,4,0
561,71,17,117.96,3539.06,One year,Credit card,Fiber optic,Yes,No,No,1,1,0
562,60,23,36.53,4439.55,Month-to-month,Electronic check,DSL,No,No,No,4,1,1
563,77,26,90.03,2564.67,One year,Electronic check,Fiber optic,No,Yes,Yes,1,4,0
564,54,7,78.58,3911.75,Month-to-month,Electronic check,DSL,Yes,Yes,Yes,1,4,1
565,50,14,78.65,4102.71,Month-to-month,Mailed check,DSL,No,Yes,Yes,1,4,1
566,25,7,89.77,3159.17,Month-to-month,Mailed check,Fiber optic,No,Yes,Yes,1,1,1
567,70,9,112.96,7261.92,One year,Bank transfer,No,No,No,No,2,2,0
568,77,48,98.26,226.89,One year,Credit card,Fiber optic,No,No,No,3,3,0
569,61,59,25.61,6279.15,Month-to-month,Mailed check,DSL,No,No,No,3,3,0
570,61,39,105.27,1082.62,Month-to-month,Electronic check,DSL,No,Yes,Yes,4,1,1
571,22,18,42.55,6400.62,Month-to-month,Electronic check,No,No,No,No,3,1,1
572,56,59,57.69,4965.7,Month-to-month,Mailed check,Fiber optic,No,Yes,Yes,0,2,1
573,21,17,66.17,6761.9,Month-to-month,Mailed check,DSL,No,Yes,Yes,1,4,1
574,23,14,68.09,870.36,Month-to-month,Mailed check,No,No,Yes,Yes,1,1,1
575,62,31,63.52,4515.95,Month-to-month,Bank transfer,No,No,No,Yes,1,5,0
576,49,24,113.74,4058.59,Month-to-month,Electronic check,No,No,Yes,Yes,3,4,1
577,69,60,90.6,5678.93,Month-to-month,Bank transfer,No,No,No,Yes,3,1,1
578,47,45,83.12,4320.9,Month-to-month,Bank transfer,No,Yes,Yes,Yes,3,5,0
579,64,3,24.98,4371.8,Month-to-month,Credit card,DSL,Yes,No,Yes,2,2,1
580,52,37,110.39,3493.81,Month-to-month,Electronic check,DSL,No,No,No,2,5,0
581,72,43,110.94,2539.79,Month-to-month,Electronic check,Fiber optic,No,No,Yes,3,1,1
582,57,40,98.02,3909.89,One year,Mailed check,Fiber optic,Yes,No,No,1,3,0
583,69,55,20.7,1036.09,Month-to-month,Mailed check,Fiber optic,Yes,No,Yes,3,1,1
584,33,39,25.73,7695.96,Month-to-month,Credit card,Fiber optic,Yes,No,No,2,3,0
585,30,15,42.52,5743.85,Month-to-month,Bank transfer,Fiber optic,No,No,No,5,2,1
586,67,4,33.13,7624.49,One year,Mailed check,Fiber optic,Yes,Yes,No,2,2,0
587,77,25,59.88,1891.15,Two year,Mailed check,DSL,No,Yes,No,2,4,0
588,59,13,112.26,7046.79,One year,Electronic check,DSL,No,Yes,Yes,1,4,0
589,47,33,67.21,6489.44,One year,Electronic check,Fiber optic,No,No,Yes,2,3,0
590,36,16,21.34,5449.5,Month-to-month,Mailed check,Fiber optic,No,No,Yes,4,3,1
591,34,42,48.27,5037.73,One year,Electronic check,DSL,Yes,No,Yes,1,2,0
592,73,66,24.46,2600.74,One year,Credit card,Fiber optic,No,No,Yes,1,5,0
593,36,55,23.63,6549.65,Month-to-month,Mailed check,Fiber optic,No,No,No,1,3,1
594,45,42,47.57,4061.97,Month-to-month,Electronic check,Fiber optic,No,No,Yes,3,3,1
595,75,34,47.56,660.04,Month-to-month,Credit card,DSL,No,No,No,0,5,1
596,72,30,98.71,2571.62,Two year,Electronic check,Fiber optic,No,Yes,No,3,4,0
597,43,13,117.48,7488.85,Month-to-month,Electronic check,DSL,Yes,No,No,0,4,1
598,54,13,57.12,6820.37,One year,Electronic check,No,No,Yes,No,1,3,0
599,43,18,62.89,7857.06,Month-to-month,Mailed check,DSL,Yes,No,No,0,4,0
600,70,32,104.48,5061.15,Month-to-month,Bank transfer,Fiber optic,No,Yes,Yes,0,4,1
601,79,39,46.81,2055.33,Month-to-month,Electronic check,DSL,Yes,No,Yes,0,4,0
602,40,46,35.64,1386.24,Month-to-month,Credit card,Fiber optic,No,No,No,1,2,1
603,26,29,105.31,1576.62,Two year,Mailed check,Fiber optic,No,Yes,No,2,1,0
604,29,62,24.65,256.39,One year,Mailed check,DSL,Yes,Yes,No,1,3,0
605,70,62,81.97,3186.39,Month-to-month,Credit card,Fiber optic,No,No,Yes,3,3,0
606,18,57,76.2,1612.28,Two year,Electronic check,DSL,Yes,No,No,2,2,0
607,75,16,54.59,3352.08,Month-to-month,Bank transfer,DSL,Yes,No,Yes,4,1,1
